ID,Release Group,Runtime ,Metascore,Rated,Year,Genre 1,Genre 2,Genre 3,Sequel
24,Mamma Mia! Here We Go Again,1h 54m,60,PG,2018,Comedy,Musical,Romance,TRUE
25,Solo: A Star Wars Story,2h 15m,62,PG,2018,Action,Adventure,Fantasy,TRUE
26,Spider-Man: Into the Spider-Verse,1h 57m,87,PG,2018,Animation,Action,Adventure,TRUE
27,Fifty Shades Freed,1h 45m,31,18A,2018,Drama,Romance,Thriller,TRUE
28,Hello Mr. Billionaire,1h 58m,,,2018,Comedy,,,FALSE
29,The Nun,1h 36m,46,14A,2018,Horror,Mystery,Thriller,FALSE
30,Monster Hunt 2,1h50m,63,PG,2018,Adventure,Comedy,Fantasy,TRUE
31,Peter Rabbit,1h 35m,51,PG,2018,Animation,Adventure,Comedy,FALSE
32,Mary Poppins Returns,2h 10m,66,G,2018,Comedy,Family,Fantasy,TRUE
33,A Quiet Place,1h 30m,82,14A,2018,Drama,Horror,Science-Fiction,FALSE
34,Green Book,2h 10m,69,PG,2018,Biography,Comedy,Drama,FALSE
35,Skyscraper,1h 42m,51,PG,2018,Action,Adventure,Thriller,FALSE
36,Ocean's Eight,1h 50m,61,PG,2018,Action,Comedy,Crime,TRUE
37,Pacific Rim: Uprising,1h 51m,44,PG,2018,Action,Adventure,Science-Fiction,TRUE
38,Maze Runner: The Death Cure,2h 23m,50,PG,2018,Action,Adventure,Science-Fiction,TRUE
39,Tomb Raider,1h 59m,48,PG,2018,Action,Adventure,Fantasy,TRUE
40,Halloween,1h 46m,67,18A,2018,Horror,Thriller,,FALSE
41,Crazy Rich Asians,2h,74,PG,2018,Comedy,Drama,Romance,FALSE
42,Smallfoot,1h 36m,60,G,2018,Animation,Adventure,Comedy,FALSE
43,Creed II,2h 10m,66,PG,2018,Drama,Sport,,TRUE
44,Us and Them,2h,,,2018,Drama,Romance,,FALSE
45,The Island,2h 14m,,,2018,Comedy,Fantasy,,FALSE
46,Christopher Robin,1h 44m,,G,2018,Adventure,Comedy,Drama,FALSE
47,The Equalizer 2,2h 1m,50,14A,2018,Action,Crime,Thriller,TRUE
48,Project Gutenberg,2h 10m,,PG,2018,Action,Crime,Drama,FALSE
49,The Mule,1h 56m,58,G,2018,Crime,Drama,Thriller,FALSE
50,The Nutcracker and the Four Realms,1h 39m,39,PG,2018,Adventure,Family,Fantasy,TRUE
51,Insidious: The Last Key,1h 43m,49,14A,2018,Horror,Mystery,Thriller,TRUE
